lesson	sent_id	sound_file	sent	trans	grammar_sent	vocab_sent	kanji_sent
lesson01	01_10	sound/01_10.mov	また役人が正しく規律法則を守れるよう、日本で初めての憲法と言われる十七条の憲法も定めました。	He also established the seventeen-article constitution, said to be Japan's first constitution, so that officials could correctly observe regulations and laws.	また役人が正しく規律法則を守れるよう、日本で初めての憲法と言われる十七条の憲法も定めました。	また<a onclick="show('../vocab/28.html')">役人</a>が正しく<a onclick="show('../vocab/36.html')">規律</a><a onclick="show('../vocab/710.html')">法則</a>を<a onclick="show('../vocab/37.html')">守</a>れるよう、日本で<a onclick="show('../vocab/1561.html')">初めて</a>の<a onclick="show('../vocab/1969.html')">憲法</a>と言われる<a onclick="show('../vocab/1562.html')">十七条</a>の憲法も<a onclick="show('../vocab/39.html')">定め</a>ました。	また<a onclick="show_gif('../kanji/15.gif')">役</a>人が正しく<a onclick="show_gif('../kanji/19.gif')">規</a><a onclick="show_gif('../kanji/20.gif')">律</a>法<a onclick="show_gif('../kanji/21.gif')">則</a>を<a onclick="show_gif('../kanji/22.gif')">守</a>れるよう、日本で初めての<a onclick="show_gif('../kanji/23.gif')">憲</a>法と言われる十七<a onclick="show_gif('../kanji/24.gif')">条</a>の憲法も<a onclick="show_gif('../kanji/25.gif')">定</a>めました。
lesson01	01_11	sound/01_11.mov	また、この憲法の一条に「あつく仏教を敬え。」とあるように、仏の教えを基に国を治めようとしました。	He also attempted to govern the country on the basis of Buddhist teachings, as illustrated by the first article of the constitution which states, "Diligently honor Buddhism."	また、この憲法の一条に「あつく仏教を敬え。」とあるように、<a onclick="show('../grammar/1.html')">仏の教えを基に</a>国を<a onclick="show('../grammar/38.html')">治めようとしました</a>。	また、この<a onclick="show('../vocab/1969.html')">憲法</a>の<a onclick="show('../vocab/2121.html')">一条に</a>「<a onclick="show('../vocab/1991.html')">あつく</a><a onclick="show('../vocab/40.html')">仏教</a>を<a onclick="show('../vocab/1776.html')">敬</a>え。」とあるように、仏の<a onclick="show('../vocab/1564.html')">教え</a>を<a onclick="show('../vocab/1243.html')">基</a>に国を<a onclick="show('../vocab/601.html')">治め</a>ようとしました。	また、この<a onclick="show_gif('../kanji/23.gif')">憲</a>法の一<a onclick="show_gif('../kanji/24.gif')">条</a>に「あつく<a onclick="show_gif('../kanji/26.gif')">仏</a>教を<a onclick="show_gif('../kanji/152.gif')">敬</a>え。」とあるように、仏の教えを基に国を治めようとしました。
lesson01	01_12	sound/01_12.mov	現在、奈良に残っている世界最古の木造建築、法隆寺は、聖徳太子が父、用明天皇を祭って建てたと言われています。	It is said that Hōryūji Temple, which still exists in Nara as the oldest wooden structure in the world, was built by Shōtoku Taishi in honor of his father, Emperor Yōmei.	現在、奈良に残っている世界最古の木造建築、法隆寺は、聖徳太子が父、用明天皇を祭って建てたと言われています。	<a onclick="show('../vocab/1565.html')">現在</a>、<a onclick="show('../vocab/42.html')">奈良</a>に<a onclick="show('../vocab/1566.html')">残って</a>いる<a onclick="show('../vocab/1550.html')">世界</a><a onclick="show('../vocab/1567.html')">最古</a>の<a onclick="show('../vocab/43.html')">木造建築</a>、<a onclick="show('../vocab/44.html')">法隆寺</a>は、<a onclick="show('../vocab/1548.html')">聖徳太子</a>が<a onclick="show('../vocab/1568.html')">父</a>、<a onclick="show('../vocab/1569.html')">用明天皇</a>を<a onclick="show('../vocab/1570.html')">祭っ</a>て<a onclick="show('../vocab/1571.html')">建て</a>たと言われています。	現在、奈<a onclick="show_gif('../kanji/27.gif')">良</a>に残っている世界最古の木造<a onclick="show_gif('../kanji/28.gif')">建</a>築、法隆寺は、<a onclick="show_gif('../kanji/340.gif')">聖</a>徳太子が父、用明天<a onclick="show_gif('../kanji/361.gif')">皇</a>を祭って建てたと言われています。
lesson01	01_13	sound/01_13.mov	このほか、仏教の経典をわかりやすく説明した「三経義疏」という解説書も書いて、仏教を多くの人に教えようとしました。	In addition to that, he wrote "Sangyōgisho," a commentary on the Buddhist scriptures making them easy to understand, and attempted to teach Buddhism to large numbers of people.	このほか、仏教の経典をわかりやすく説明した「三経義疏」という解説書も書いて、仏教を多くの人に教えようとしました。	このほか、<a onclick="show('../vocab/40.html')">仏教</a>の<a onclick="show('../vocab/396.html')">経典</a>をわかりやすく<a onclick="show('../vocab/1572.html')">説明</a>した「<a onclick="show('../vocab/1987.html')">三経義疏</a>」という<a onclick="show('../vocab/47.html')">解説書</a>も書いて、仏教を<a onclick="show('../vocab/1700.html')">多く</a>の人に<a onclick="show('../vocab/1564.html')">教え</a>ようとしました。	このほか、<a onclick="show_gif('../kanji/26.gif')">仏</a>教の経<a onclick="show_gif('../kanji/29.gif')">典</a>をわかりやすく説明した「三経<a onclick="show_gif('../kanji/30.gif')">義</a>疏」という<a onclick="show_gif('../kanji/32.gif')">解</a>説書も書いて、仏教を多くの人に教えようとしました。
lesson01	01_14	sound/01_14.mov	このように、政治家としてだけでなく宗教家として、また学者として、より良い日本を造り上げようと努力したのが聖徳太子です。	It was in this manner that Shōtoku Taishi attempted to create a better Japan, not only as a statesman, but as a man of religion and as a scholar.	このように、政治家としてだけでなく宗教家として、また学者として、より良い日本を造り上げようと<a onclick="show('../grammar/2.html')">努力したのが</a>聖徳太子です。	このように、<a onclick="show('../vocab/1450.html')">政治家</a>として<a onclick="show('../vocab/1642.html')">だけでなく</a><a onclick="show('../vocab/376.html')">宗教</a>家として、また<a onclick="show('../vocab/1573.html')">学者</a>として、<a onclick="show('../vocab/48.html')">より良い</a>日本を<a onclick="show('../vocab/2023.html')">造</a>り上げようと<a onclick="show('../vocab/1892.html')">努力</a>したのが<a onclick="show('../vocab/1548.html')">聖徳太子</a>です。	このように、政治家としてだけでなく<a onclick="show_gif('../kanji/362.gif')">宗</a>教家として、また学者として、より<a onclick="show_gif('../kanji/27.gif')">良</a>い日本を造り上げようと努力したのが<a onclick="show_gif('../kanji/340.gif')">聖</a>徳太子です。
lesson01	01_15	sound/01_15.mov	亡くなる以前は、人々に厩戸豊聡耳皇子と呼ばれました。	Before he died he was called Umayado Toyotomimi no Ōji (Prince of the Stable whose ears hear all) by the people.	亡くなる以前は、人々に厩戸豊聡耳皇子と呼ばれました。	<a onclick="show('../vocab/49.html')">亡くなる</a><a onclick="show('../vocab/1574.html')">以前</a>は、人々に<a onclick="show('../vocab/1575.html')">厩戸豊聡耳皇子</a>と<a onclick="show('../vocab/1556.html')">呼ば</a>れました。	<a onclick="show_gif('../kanji/33.gif')">亡</a>くなる以前は、人々に厩戸<a onclick="show_gif('../kanji/187.gif')">豊</a>聡耳<a onclick="show_gif('../kanji/361.gif')">皇</a>子と呼ばれました。
lesson01	01_16	sound/01_16.mov	これは、太子がうまやの前で急に生まれたこと、そして、何人もの話を同時に聞き分けたという言い伝えを表しています。	This name illustrates that he was born suddenly in front of the stables, and he could listen to and distinguish petitions from many people at once.	これは、太子がうまやの前で急に生まれたこと、そして、何人もの話を同時に聞き分けたという言い伝えを表しています。	これは、太子が<a onclick="show('../vocab/50.html')">うまや</a>の前で<a onclick="show('../vocab/1576.html')">急に</a>生まれたこと、そして、<a onclick="show('../vocab/2122.html')">何人もの話</a>を<a onclick="show('../vocab/1577.html')">同時に</a><a onclick="show('../vocab/52.html')">聞き分けた</a>という<a onclick="show('../vocab/53.html')">言い伝え</a>を<a onclick="show('../vocab/1554.html')">表し</a>ています。	これは、太子がうまやの前で急に生まれたこと、そして、何人もの話を同時に聞き分けたという言い伝えを表しています。
lesson01	01_17	sound/01_17.mov	キリスト教で神の子と信じられているイエスがうまやの中で生まれ、１２歳の年で当時の学者達以上に賢かったという話と非常に似ている点があっておもしろいと思います。	I feel this story is interesting because it has many points that greatly resemble the story of Jesus in Christianity, which says that Christ was born in a stable and at the age of 12 was more intelligent than scholars of his day.	キリスト教で神の子と信じられているイエスがうまやの中で生まれ、１２歳の年で当時の学者達以上に賢かったという話と非常に似ている点があっておもしろいと思います。	キリスト教で神の子と<a onclick="show('../vocab/1449.html')">信じ</a>られているイエスが<a onclick="show('../vocab/50.html')">うまや</a>の中で生まれ、１２<a onclick="show('../vocab/1986.html')">歳</a>の年で<a onclick="show('../vocab/51.html')">当時</a>の<a onclick="show('../vocab/1573.html')">学者</a>達<a onclick="show('../vocab/1579.html')">以上</a>に<a onclick="show('../vocab/54.html')">賢</a>かったという話と<a onclick="show('../vocab/709.html')">非常に</a><a onclick="show('../vocab/1580.html')">似て</a>いる点があって<a onclick="show('../vocab/1582.html')">おもしろい</a>と思います。	キリスト教で神の子と<a onclick="show_gif('../kanji/34.gif')">信</a>じられているイエスがうまやの中で生まれ、１２歳の年で当時の学者達以上に賢かったという話と<a onclick="show_gif('../kanji/10.gif')">非</a><a onclick="show_gif('../kanji/11.gif')">常</a>に似ている点があっておもしろいと思います。
lesson02	TITLE	sound/L02.mp3	万葉集	1			
lesson02	02_01	sound/02_01.mov	「万葉集」は日本で一番古い歌集です。	"The Man'yōshū" is the earliest poetry collection in Japan.		「<a onclick="show('../vocab/55.html')">万葉集</a>」は日本で<a onclick="show('../vocab/1551.html')">一番</a><a onclick="show('../vocab/1583.html')">古い</a><a onclick="show('../vocab/56.html')">歌集</a>です。	「万葉集」は日本で一番古い歌集です。
lesson02	02_02	sound/02_02.mov	約４５００首の和歌を２０巻に集めた歌集で、西暦７８０年頃に大伴家持という有名な作家が現在のような形に編集したと言われています。	It is a collection of some 4,500 poems divided into twenty volumes, and it is said to have been put into its current form around A.D.785 by the famous poet Otomo no Yakamochi.		<a onclick="show('../vocab/1584.html')">約</a>４５００<a onclick="show('../vocab/59.html')">首</a>の<a onclick="show('../vocab/128.html')">和歌</a>を２０<a onclick="show('../vocab/190.html')">巻</a>に<a onclick="show('../vocab/1585.html')">集め</a>た<a onclick="show('../vocab/56.html')">歌集</a>で、<a onclick="show('../vocab/58.html')">西暦</a>７８０年<a onclick="show('../vocab/1586.html')">頃</a>に<a onclick="show('../vocab/1587.html')">大伴家持</a>という<a onclick="show('../vocab/1588.html')">有名</a>な<a onclick="show('../vocab/1589.html')">作家</a>が<a onclick="show('../vocab/1565.html')">現在</a>のような<a onclick="show('../vocab/1590.html')">形</a>に<a onclick="show('../vocab/1591.html')">編集</a>したと言われています。	約４５００首の和歌を２０<a onclick="show_gif('../kanji/35.gif')">巻</a>に集めた歌集で、西暦７８０年頃に大伴家持という有名な作家が現在のような形に<a onclick="show_gif('../kanji/36.gif')">編</a>集したと言われています。
lesson02	02_03	sound/02_03.mov	「万葉」には、「万の葉」とか「万の世」という二通りの説があります。	There are two theories concerning the meaning of the term "man'yō" in its title. It may refer to "ten thousand leaves" or "ten thousand generations."		「万葉」には、「<a onclick="show('../vocab/2123.html')">万の葉</a>」とか「<a onclick="show('../vocab/2124.html')">万の世</a>」という<a onclick="show('../vocab/1595.html')">二通り</a>の<a onclick="show('../vocab/1596.html')">説</a>があります。	「万葉」には、「万の葉」とか「万の世」という二通りの説があります。
lesson02	02_04	sound/02_04.mov	前者はたくさんの歌を集めたものという意味で、後者は何万年もの間、つまりいつまでも「万葉集」にのっている歌を伝えようという昔の人の心を表しています。	The former may refer to a collection of many poems, whereas the latter may refer to tens of thousands of years, i.e. an expression of the desire of people of old to pass on the poems in "The Man'yōshū" forever.		<a onclick="show('../vocab/60.html')">前者</a>はたくさんの歌を<a onclick="show('../vocab/1585.html')">集め</a>たものという<a onclick="show('../vocab/1597.html')">意味</a>で、<a onclick="show('../vocab/61.html')">後者</a>は<a onclick="show('../vocab/1598.html')">何万年</a>もの間、つまりいつまでも「<a onclick="show('../vocab/55.html')">万葉集</a>」に<a onclick="show('../vocab/1212.html')">のって</a>いる歌を<a onclick="show('../vocab/1555.html')">伝え</a>ようという<a onclick="show('../vocab/1599.html')">昔</a>の人の心を<a onclick="show('../vocab/1554.html')">表し</a>ています。	前者はたくさんの歌を集めたものという意味で、後者は何万年もの間、つまりいつまでも「万葉集」にのっている歌を伝えようという<a onclick="show_gif('../kanji/405.gif')">昔</a>の人の心を表しています。
lesson02	02_05	sound/02_05.mov	「万葉集」の中に収めてある歌の作者には、天皇、貴族、役人のように地位の高い人々だけではなく、現在の軍人にあたる防人や田畑を耕す百姓、ついには乞食のような者までいました。	Authors of the poems gathered into "The Man'yōshū" are not only people of high station such as emperors, nobility, and officials, but include border guards, peasants working the fields, and even beggars.		「<a onclick="show('../vocab/55.html')">万葉集</a>」の中に<a onclick="show('../vocab/712.html')">収めて</a>ある歌の<a onclick="show('../vocab/1706.html')">作者</a>には、<a onclick="show('../vocab/113.html')">天皇</a>、<a onclick="show('../vocab/713.html')">貴族</a>、<a onclick="show('../vocab/28.html')">役人</a>のように<a onclick="show('../vocab/62.html')">地位</a>の高い人々だけではなく、<a onclick="show('../vocab/1565.html')">現在</a>の<a onclick="show('../vocab/64.html')">軍人</a>にあたる<a onclick="show('../vocab/1600.html')">防人</a>や<a onclick="show('../vocab/63.html')">田畑</a>を<a onclick="show('../vocab/714.html')">耕す</a><a onclick="show('../vocab/656.html')">百姓</a>、<a onclick="show('../vocab/399.html')">ついに</a>は<a onclick="show('../vocab/65.html')">乞食</a>のような者までいました。	「万葉集」の中に<a onclick="show_gif('../kanji/38.gif')">収</a>めてある歌の作者には、天皇、<a onclick="show_gif('../kanji/37.gif')">貴</a>族、役人のように地位の高い人々だけではなく、現在の<a onclick="show_gif('../kanji/39.gif')">軍</a>人にあたる<a onclick="show_gif('../kanji/40.gif')">防</a>人や田畑を<a onclick="show_gif('../kanji/41.gif')">耕</a>す百姓、ついには乞食のような者までいました。
lesson02	02_06	sound/02_06.mov	山上憶良、山部赤人、柿本人麻呂、額田王などは万葉の特に有名な歌人で、日本人のほとんどの人に知られている名前です。	Particularly well-known Man'yōshū poets include Yamanoue no Okura, Yamabe no Akahito, Kakinomoto no Hitomaro, and Nukata no Ōkimi, names known by nearly all Japanese people.		<a onclick="show('../vocab/1601.html')">山上憶良</a>、<a onclick="show('../vocab/1602.html')">山部赤人</a>、<a onclick="show('../vocab/1603.html')">柿本人麻呂</a>、<a onclick="show('../vocab/1604.html')">額田王</a>などは<a onclick="show('../vocab/1592.html')">万</a><a onclick="show('../vocab/1593.html')">葉</a>の<a onclick="show('../vocab/1605.html')">特に</a><a onclick="show('../vocab/1588.html')">有名</a>な<a onclick="show('../vocab/208.html')">歌人</a>で、日本人の<a onclick="show('../vocab/382.html')">ほとんどの人</a>に知られている<a onclick="show('../vocab/1606.html')">名前</a>です。	山上憶良、山部赤人、柿本人麻呂、<a onclick="show_gif('../kanji/336.gif')">額</a>田王などは万葉の特に有名な歌人で、日本人のほとんどの人に知られている名前です。
lesson02	02_07	sound/02_07.mov	純粋で素朴な昔の人の考え方、生活が手に取るようにわかる優れた歌集です。	It is an outstanding collection - so clear and understandable. It is as though one were viewing firsthand the pure unsophisticated thinking and lifestyle of the people of old.		<a onclick="show('../vocab/715.html')">純粋</a>で<a onclick="show('../vocab/66.html')">素朴</a>な<a onclick="show('../vocab/1599.html')">昔</a>の人の考え方、<a onclick="show('../vocab/1607.html')">生活</a>が<a onclick="show('../vocab/67.html')">手に取るようにわかる</a><a onclick="show('../vocab/610.html')">優れた</a><a onclick="show('../vocab/56.html')">歌集</a>です。	<a onclick="show_gif('../kanji/42.gif')">純</a>粋で<a onclick="show_gif('../kanji/43.gif')">素</a>朴な<a onclick="show_gif('../kanji/405.gif')">昔</a>の人の考え方、生活が手に取るようにわかる<a onclick="show_gif('../kanji/59.gif')">優</a>れた歌集です。
lesson02	02_08	sound/02_08.mov	どのような歌が収められてあるのか、山上憶良という歌人の残した歌を二、三首とって説明してみましょう。	In order to better understand what sort of poems are found in the collection, let me explain two or three verses left by the poet Yamanoue no Okura.		どのような歌が<a onclick="show('../vocab/2125.html')">収められてあるのか、</a><a onclick="show('../vocab/1601.html')">山上憶良</a>という<a onclick="show('../vocab/208.html')">歌人</a>の<a onclick="show('../vocab/2008.html')">残した</a>歌を二、三<a onclick="show('../vocab/59.html')">首</a>とって<a onclick="show('../vocab/1572.html')">説明</a>してみましょう。	どのような歌が<a onclick="show_gif('../kanji/38.gif')">収</a>められてあるのか、山上憶良という歌人の残した歌を二、三首とって説明してみましょう。
lesson02	02_09	sound/02_09.mov	憶良は子供が多かったせいか、子供についての歌をたくさん作りました。	Perhaps because Okura had many children, he composed many poems about children.		<a onclick="show('../vocab/1995.html')">憶良</a>は<a onclick="show('../vocab/1608.html')">子供</a>が<a onclick="show('../vocab/2126.html')">多かったせいか、</a>子供についての歌をたくさん作りました。	憶良は子<a onclick="show_gif('../kanji/44.gif')">供</a>が多かったせいか、子供についての歌をたくさん作りました。
lesson02	02_10	sound/02_10.mov	中でも一番有名な歌の一つに、「銀も金も玉もなにせんにまされる宝子にしかめやも」というのがあります。	One of the most famous is the following: "Whatever treasure, whether         it be of silver or gold or jewels, can any be more precious than children?"		中でも<a onclick="show('../vocab/1551.html')">一番</a><a onclick="show('../vocab/1588.html')">有名</a>な歌の一つに、「<a onclick="show('../vocab/68.html')">銀</a>も<a onclick="show('../vocab/69.html')">金</a>も<a onclick="show('../vocab/70.html')">玉</a>も<a onclick="show('../vocab/71.html')">なにせんに</a><a onclick="show('../vocab/72.html')">まされる</a><a onclick="show('../vocab/1610.html')">宝</a>子に<a onclick="show('../vocab/73.html')">しかめやも</a>」というのがあります。	中でも一番有名な歌の一つに、「<a onclick="show_gif('../kanji/45.gif')">銀</a>も金も玉もなにせんにまされる<a onclick="show_gif('../kanji/46.gif')">宝</a>子にしかめやも」というのがあります。
